7,0,1540,0
0,1,2809,2
0,6,2317,3
0,9,1013,3
9,7,1307,3
3,9,2238,0
1,1,1140,2
8,3,2605,4
1,7,2309,3
7,3,1749,3
6,3,1430,1
9,6,1752,4
6,2,1371,3
9,1,1468,2
0,9,2991,2
5,0,1360,3
3,6,1210,0
1,5,1621,4
7,5,1711,1
8,3,1734,2
2,6,2559,3
8,3,2118,4
9,1,1661,2
6,5,2396,0
5,6,1909,4
5,9,2389,3
6,2,1765,1
7,4,2750,4
2,6,2748,1
6,8,2238,1
7,7,2646,3
3,6,2915,1
6,2,1300,1
7,1,1979,3
9,5,1473,3
4,7,2480,4
9,6,1533,1
3,4,1354,3
5,8,2068,3
6,1,1242,1
4,6,2946,4
9,5,1700,2
3,7,1116,4
9,6,1288,0
8,1,1210,2
0,7,1109,0
3,9,2324,0
4,3,2391,0
2,3,1803,1
5,1,1385,0
2,9,2074,1
1,0,2659,2
4,9,1813,1
7,6,2143,3
5,3,1861,2
8,3,2687,0
6,6,2255,0
0,9,1392,4
