2001,100,1000,100,100,Miser
2002,89,900,11,34,Generous
2003,34,999,45,67,Miser
2004,67,890,58,78,Geek
2005,55,850,98,99,Miser
2006,54,200,21,59,Miser
2007,37,700,76,88,Geek
2008,11,800,32,78,Generous
2009,67,775,12,99,Generous
2010,89,900,56,88,Generous
2011,48,700,78,99,Miser
2012,99,450,11,100,Geek
2013,42,500,99,100,Miser
2014,69,200,35,89,Generous
2015,11,700,48,98,Generous
2016,79,650,21,54,Miser
2017,92,900,34,67,Geek
2018,45,950,56,89,Generous
2019,68,775,13,89,Geek
2020,49,800,34,79,Miser
2021,82,500,42,59,Generous
2022,19,337,35,68,Miser
2023,58,955,38,78,Miser
2024,67,1000,25,49,Geek
2025,78,480,23,78,Miser
2026,87,760,67,87,Generous
2027,54,850,79,91,Miser
2028,32,900,34,69,Generous
2029,89,950,45,89,Miser
2030,56,700,34,79,Geek
2031,89,800,67,89,Geek
2032,90,700,45,89,Miser
2033,42,800,23,79,Miser
2034,16,500,37,99,Generous
2035,89,890,54,84,Miser
2036,69,300,33,97,Generous
2037,99,575,21,100,Miser
2038,99,875,10,86,Miser
2039,43,975,29,69,Miser
2040,89,975,45,89,Generous
2041,41,950,26,67,Miser
2042,78,850,32,60,Miser
2043,89,575,78,89,Miser
2044,98,965,32,76,Generous
2045,56,1000,34,68,Generous
