1001,89,456,91,Choosy
1002,37,1000,98,Desperate
1003,69,999,95,Choosy
1004,95,478,93,Normal
1005,69,912,99,Normal
1006,34,800,93,Desperate
1007,63,700,99,Choosy
1008,89,950,82,Choosy
1009,99,490,11,Desperate
1010,39,500,56,Desperate
1011,19,100,83,Choosy
1012,59,800,20,Choosy
1013,79,600,49,Normal
1014,84,385,89,Choosy
1015,21,900,29,Normal
1016,82,200,47,Choosy
1017,70,500,85,Choosy
1018,43,820,43,Normal
1019,41,850,52,Desperate
1020,78,900,91,Choosy
1021,39,300,21,Normal
1022,42,560,34,Choosy
1023,93,300,56,Desperate
1024,89,200,43,Choosy
1025,59,100,89,Normal
1026,83,800,22,Choosy
1027,91,475,10,Desperate
1028,92,900,6,Choosy
1029,80,200,89,Normal
1030,75,1000,41,Normal
1031,85,780,18,Desperate
1032,82,500,19,Choosy
1033,89,900,37,Choosy
1034,83,999,13,Normal
1035,81,500,7,Desperate
1036,87,940,2,Choosy
1037,73,900,45,Choosy
1038,56,450,9,Normal
1039,89,500,89,Desperate
1040,75,456,8,Desperate
